subject,grade_level,year,level_old,level_new,N
NOR,5,2016,2,1,28
NOR,5,2016,2,2,25530
NOR,5,2016,2,3,4024
NOR,5,2016,3,1,7
NOR,5,2016,3,3,13933
NOR,5,2017,1,1,13801
NOR,5,2017,2,1,5
NOR,5,2017,2,2,25584
NOR,5,2017,2,3,5255
NOR,5,2017,3,3,13533
NOR,5,2018,1,1,13833
NOR,5,2018,2,1,1336
NOR,5,2018,2,2,26777
NOR,5,2018,2,3,4488
NOR,5,2018,3,3,13358
NOR,5,2019,1,1,13930
NOR,5,2019,2,1,3803
NOR,5,2019,2,2,26678
NOR,5,2019,2,3,3260
NOR,5,2019,3,3,13028
NOR,5,2020,1,1,13948
NOR,5,2020,2,1,4301
NOR,5,2020,2,2,26126
NOR,5,2020,2,3,2547
NOR,5,2020,3,3,12930
NOR,5,2021,1,1,13242
NOR,5,2021,2,1,3896
NOR,5,2021,2,2,24722
NOR,5,2021,2,3,3808
NOR,5,2021,3,3,12333
NOR,8,2016,1,1,4225
NOR,8,2016,1,2,1385
NOR,8,2016,2,1,13
NOR,8,2016,2,2,10215
NOR,8,2016,3,1,22
NOR,8,2016,3,2,305
NOR,8,2016,3,3,23043
NOR,8,2016,3,4,695
NOR,8,2016,4,1,15
NOR,8,2016,4,4,11303
NOR,8,2016,4,5,3
NOR,8,2016,5,1,10
NOR,8,2016,5,5,6848
NOR,8,2017,1,1,4649
NOR,8,2017,1,2,473
NOR,8,2017,2,2,10481
NOR,8,2017,3,2,628
NOR,8,2017,3,3,21715
NOR,8,2017,3,4,2408
NOR,8,2017,4,4,10169
NOR,8,2017,4,5,1741
NOR,8,2017,5,5,6569
NOR,8,2018,1,1,4813
NOR,8,2018,1,2,552
NOR,8,2018,2,2,9821
NOR,8,2018,3,2,330
NOR,8,2018,3,3,21899
NOR,8,2018,3,4,2834
NOR,8,2018,4,4,10492
NOR,8,2018,4,5,2039
NOR,8,2018,5,5,6172
NOR,8,2019,1,1,5341
NOR,8,2019,1,2,537
NOR,8,2019,2,2,8863
NOR,8,2019,3,2,459
NOR,8,2019,3,3,23311
NOR,8,2019,3,4,2243
NOR,8,2019,4,4,12719
NOR,8,2019,4,5,1337
NOR,8,2019,5,5,5567
NOR,8,2020,1,1,5654
NOR,8,2020,2,1,1031
NOR,8,2020,2,2,9419
NOR,8,2020,3,2,3391
NOR,8,2020,3,3,21649
NOR,8,2020,4,3,894
NOR,8,2020,4,4,12382
NOR,8,2020,5,4,281
NOR,8,2020,5,5,5473
NOR,8,2021,1,1,6002
NOR,8,2021,2,1,1722
NOR,8,2021,2,2,8831
NOR,8,2021,3,2,4412
NOR,8,2021,3,3,21025
NOR,8,2021,4,3,1581
NOR,8,2021,4,4,11846
NOR,8,2021,5,4,624
NOR,8,2021,5,5,5485
